id,gender,age,edu,hs1,hs2,hs3,hs4,hs5,hs6,bs1,bs2,bs3,bs4,bs5,bs6,gpg1,gpg2,gpg3,gpg4
30,1,46,3,5,4,5,4,5,6,5,3,5,4,3,4,4,4,4,4
31,1,33,5,3,2,4,2,3,5,3,2,2,3,2,1,3,2,4,2
32,2,30,4,4,4,5,4,4,4,4,4,4,5,6,5,5,3,3,2
33,2,18,5,4,4,4,2,4,4,5,5,4,4,4,5,3,2,2,2
34,2,26,5,4,4,5,3,4,3,4,3,3,4,3,3,3,4,3,2
35,1,19,3,2,3,3,3,4,4,3,5,3,2,3,2,3,4,2,3
36,1,36,2,3,3,3,3,2,4,4,3,3,3,3,4,4,1,3,3
37,1,31,2,5,4,5,4,4,4,6,3,4,3,5,2,5,4,4,4
38,1,26,2,5,4,4,5,4,4,5,6,5,5,5,4,4,5,5,4
39,1,27,5,4,3,3,4,3,5,4,3,4,3,4,3,4,4,2,3
40,2,26,1,3,4,2,3,4,4,2,4,3,3,2,3,4,4,5,4
41,2,23,4,3,3,4,4,3,4,3,5,4,4,5,5,4,2,3,3
42,1,32,4,4,2,3,4,4,4,4,2,3,4,2,1,2,3,4,2
43,2,39,4,4,2,3,3,4,4,3,3,2,4,1,2,3,3,4,5
44,1,25,3,5,4,4,3,3,4,4,3,5,5,4,3,4,4,3,3
45,2,30,2,2,3,2,2,4,1,3,3,4,3,3,4,3,3,2,2
46,1,44,4,3,4,3,2,4,4,3,3,4,2,2,4,2,3,3,4
47,1,24,5,5,6,4,5,5,4,4,4,4,3,4,6,4,5,4,5
48,1,20,3,4,3,5,4,6,5,4,5,3,4,4,4,3,3,5,4
49,1,25,3,5,6,5,4,4,5,5,5,5,4,4,3,2,2,4,2
50,1,33,2,3,4,2,4,5,3,4,3,5,4,3,4,2,3,2,3
51,2,36,4,3,4,2,4,4,1,4,5,6,5,4,5,3,3,1,2
52,2,19,2,3,1,2,2,1,1,5,5,4,4,4,5,2,2,2,1
53,1,22,5,5,5,4,5,5,4,3,5,4,4,5,5,6,5,4,4
54,1,26,5,3,3,4,3,3,3,5,5,6,5,5,3,3,3,4,2
55,2,27,4,2,3,1,4,4,4,3,2,2,3,2,4,4,3,1,3
56,1,18,4,3,4,3,4,4,5,5,3,5,4,5,3,4,3,5,4
57,2,26,4,3,4,3,4,4,4,5,5,3,5,4,4,4,4,4,3
58,2,34,2,2,4,4,2,3,2,4,4,4,5,4,4,2,2,1,2
59,2,38,4,3,3,3,3,3,3,4,4,4,5,5,4,3,3,2,3
60,1,32,3,3,4,4,4,4,5,4,6,6,5,6,6,4,3,3,2
61,1,23,4,4,3,5,4,4,4,5,4,4,5,5,3,4,4,5,5
62,1,30,4,3,5,3,4,3,3,5,6,6,5,6,6,5,3,5,3
63,1,25,4,2,4,3,4,2,2,3,3,2,2,2,3,3,2,4,2
64,1,18,2,4,6,3,4,4,4,3,4,5,4,4,4,3,4,3,2
65,1,22,4,4,4,4,4,3,3,4,3,6,5,4,4,5,4,3,3
66,2,30,3,1,2,2,3,2,2,4,4,4,4,4,4,2,2,3,2
67,1,19,2,4,5,4,4,4,5,5,5,6,5,3,5,3,3,3,4
68,1,38,4,3,4,2,3,2,3,5,5,5,5,5,6,3,4,4,3
69,1,19,4,4,4,3,4,3,3,4,4,4,3,4,4,3,3,2,1
70,1,45,2,2,4,2,4,3,3,3,4,4,4,3,3,5,4,2,4
71,1,18,4,3,3,3,3,4,4,5,4,6,5,5,5,3,2,2,1
72,1,35,3,3,5,4,3,4,4,4,4,4,4,3,4,4,4,5,5
73,2,23,3,3,2,2,2,3,3,4,3,3,4,4,4,2,3,3,2
74,1,30,4,6,4,5,4,3,4,4,4,4,4,4,2,4,4,2,3
75,1,31,4,4,5,5,6,6,6,4,5,6,6,4,6,5,4,3,4
76,1,41,2,2,4,4,3,4,2,3,4,3,3,3,3,3,4,2,2
77,1,30,4,4,4,2,4,3,3,5,4,5,4,5,4,5,4,2,3
78,1,32,5,4,5,5,4,5,3,4,4,4,4,3,4,2,4,3,3
79,2,34,2,3,3,5,4,6,6,2,3,5,3,4,4,2,3,4,2
80,2,18,3,4,2,5,6,4,3,5,5,4,4,5,5,4,4,4,4
81,2,18,5,3,2,2,2,2,1,3,3,3,3,4,4,3,2,2,1
82,1,22,2,4,3,4,4,3,5,5,4,5,4,6,5,4,2,4,2
83,2,31,4,2,1,1,2,3,2,3,2,3,2,3,3,3,1,3,2
84,1,35,4,5,3,3,3,4,4,2,4,3,4,4,3,4,2,4,1
85,1,33,4,5,4,4,4,3,3,5,4,5,3,4,4,3,2,3,3
86,2,34,4,4,4,4,4,3,5,4,5,3,5,5,4,6,3,4,3
87,2,28,4,3,3,4,3,3,3,3,4,4,4,4,5,3,2,3,3
88,1,34,4,4,6,4,4,4,6,6,3,4,5,5,5,4,4,3,3
89,2,29,2,4,4,3,4,4,4,6,6,6,5,6,5,3,4,4,4
90,2,18,2,2,3,3,2,3,2,4,4,5,4,5,5,3,3,3,2
91,1,18,4,4,4,4,4,2,3,5,5,4,5,5,5,2,3,4,3
92,1,45,2,2,4,4,4,4,3,5,6,6,6,6,4,5,4,5,4
93,1,52,4,5,6,5,5,5,4,4,4,4,4,3,2,3,4,3,3
94,1,26,1,4,6,5,5,5,3,5,6,5,6,6,4,3,4,5,4
95,2,24,4,1,2,3,2,3,3,3,4,3,5,4,6,2,3,3,2
96,2,33,4,4,3,5,5,5,4,4,4,4,5,4,4,3,3,3,2
97,1,30,3,3,4,4,3,2,1,5,5,5,5,5,4,2,4,3,2
98,2,28,2,2,4,3,2,2,2,4,5,4,3,4,2,2,2,3,2
99,1,27,3,5,5,5,3,4,5,2,4,4,5,4,4,3,4,2,3
100,1,35,4,4,3,3,4,5,2,2,4,5,4,2,4,2,3,3,1
101,1,33,5,3,4,3,3,3,3,4,2,1,3,4,2,3,2,2,3
102,1,30,3,3,4,3,3,3,4,4,4,3,3,3,4,4,1,3,4
103,2,31,4,5,3,5,4,5,3,5,4,4,5,3,4,4,5,4,3
104,1,39,3,6,4,4,4,5,6,4,5,4,3,5,5,5,4,4,4
105,2,33,4,4,4,4,2,4,4,3,3,3,4,4,4,4,2,2,3
106,2,24,4,3,4,5,3,3,3,4,4,4,4,5,5,4,3,3,3
107,2,26,4,2,2,3,2,3,3,2,4,2,3,3,4,2,2,2,2
108,2,39,2,5,4,2,4,3,4,6,5,4,6,5,6,3,2,3,3
109,2,26,4,3,4,2,4,2,4,4,4,4,3,3,5,2,3,2,1
110,2,33,2,1,2,2,1,2,2,3,3,4,4,4,4,2,3,1,3
111,1,18,3,5,4,4,5,5,4,4,4,4,4,4,4,2,4,3,4
112,2,37,2,1,1,1,3,3,3,2,3,3,3,3,3,2,2,2,2
113,1,28,4,3,4,3,3,2,3,4,4,4,4,2,4,4,3,3,4
114,2,18,4,5,3,5,3,4,4,3,4,3,3,2,3,5,2,3,4
115,2,30,2,2,3,2,3,3,3,4,3,2,2,4,3,3,2,1,3
116,2,23,2,2,2,4,2,2,3,3,2,4,4,3,2,2,2,2,2
117,1,31,4,4,5,3,3,4,3,6,6,6,6,6,5,4,3,3,2
118,1,35,4,5,4,4,4,4,4,4,5,2,4,5,4,4,3,3,3
119,2,22,3,3,2,3,4,3,2,4,4,4,3,4,3,3,2,2,1
120,1,38,5,3,3,3,3,3,2,5,5,5,3,5,4,4,4,2,2
121,1,28,2,3,2,2,3,3,4,4,5,4,5,2,4,4,4,2,4
122,2,19,4,3,3,4,2,3,3,5,4,4,5,3,3,4,4,4,3
123,2,18,4,2,3,2,1,4,4,3,3,3,4,4,3,2,1,2,2
124,2,28,4,4,2,3,3,3,2,4,4,3,4,4,3,3,2,4,4
125,1,23,2,2,3,3,3,3,3,3,4,4,4,4,5,3,2,2,2
126,2,25,4,5,3,4,4,4,4,3,4,3,5,4,3,4,3,2,3
127,1,30,1,2,3,4,2,3,4,2,3,4,3,4,4,2,4,3,2
128,1,26,4,2,2,3,4,1,3,3,3,3,4,2,3,3,4,4,4
129,2,36,4,4,3,3,3,3,4,4,3,3,4,2,3,3,3,2,3
130,2,18,2,3,2,2,2,3,3,3,5,4,3,4,3,3,1,3,2
131,1,22,3,4,5,5,4,6,5,4,6,6,6,6,5,6,6,4,4
132,2,24,5,3,2,2,3,4,1,3,3,3,3,2,3,2,1,1,1
133,1,28,4,5,5,5,4,4,6,2,4,3,4,3,2,4,4,3,2
134,1,52,4,2,3,4,4,4,4,4,4,4,3,3,2,3,3,3,3
135,2,26,4,4,3,4,2,3,3,5,4,3,5,5,3,2,1,2,3
136,2,31,4,2,3,4,2,2,2,3,3,2,4,4,3,2,3,3,3
137,2,18,1,3,3,3,3,2,3,3,4,3,4,3,3,3,3,3,1
138,1,41,4,4,3,5,3,3,4,5,4,4,6,5,4,5,4,2,5
139,1,33,1,4,4,3,4,3,2,4,4,4,3,5,5,2,4,3,3
140,2,22,4,3,2,4,4,4,4,3,4,3,3,4,3,3,3,3,3
141,2,22,4,2,3,4,5,4,4,4,4,2,2,4,5,3,3,3,2
142,2,18,5,3,3,3,2,4,2,3,3,4,4,3,3,2,4,3,3
143,1,37,4,4,4,4,5,4,4,5,3,4,3,3,4,3,3,4,3
144,2,28,4,4,3,2,4,4,3,3,4,2,4,2,2,3,4,3,3
145,2,29,4,2,1,1,3,2,3,1,3,2,3,3,2,1,1,1,2
146,1,41,4,2,4,3,2,2,4,3,2,4,5,4,4,3,2,2,2
147,2,25,3,3,4,4,5,4,5,3,4,4,3,4,4,4,4,3,3
148,2,34,2,5,4,3,4,4,3,5,3,3,4,3,3,3,3,4,2
149,1,20,2,4,5,5,3,3,4,3,4,5,5,4,4,3,4,4,3
150,1,30,3,5,5,6,4,6,4,4,4,4,4,5,4,4,4,4,2
151,2,30,4,5,4,3,4,4,4,3,5,3,5,4,5,3,4,3,4
152,1,32,4,5,6,4,4,4,5,5,4,5,5,3,5,4,5,5,4
153,2,31,2,1,3,2,3,3,4,5,4,3,5,5,5,3,4,3,4
154,1,25,5,5,4,5,5,5,5,4,4,4,3,4,3,4,3,4,3
155,2,34,5,4,2,3,3,2,3,4,3,3,4,3,4,3,3,3,3
156,1,26,4,5,4,4,4,3,4,3,4,3,5,4,5,2,2,2,2
157,1,31,4,2,4,3,2,2,2,1,2,2,1,1,3,3,3,2,4
158,1,33,4,3,3,4,3,2,3,2,3,3,3,3,4,2,2,4,2
159,2,32,3,2,3,2,3,3,3,2,2,3,3,3,4,3,2,2,1
160,1,28,2,3,5,3,3,2,3,2,4,3,3,4,4,2,2,1,2
161,2,27,3,5,4,4,4,3,4,6,4,3,3,6,5,3,3,2,3
162,2,49,5,2,2,3,4,2,2,6,3,3,5,5,4,1,1,1,3
163,2,33,3,2,3,4,3,4,4,4,4,3,4,4,6,4,5,4,5
164,1,39,2,5,4,4,4,4,4,5,5,5,4,5,4,3,4,3,3
165,1,28,4,5,3,3,3,3,4,3,5,4,5,4,4,4,4,4,3
166,2,18,4,4,3,4,3,3,4,4,3,4,5,4,4,3,2,4,2
167,1,29,2,3,5,5,3,5,2,5,6,4,5,4,3,3,2,2,2
168,2,18,4,4,4,4,5,5,3,4,5,3,5,4,5,5,5,4,5
169,2,25,2,4,4,4,4,4,4,5,4,4,4,5,4,4,4,3,4
170,1,31,3,5,4,4,3,4,4,4,3,3,3,3,4,3,2,3,3
171,2,18,3,3,4,3,4,4,4,4,3,3,3,4,4,4,2,3,2
172,2,18,4,2,3,2,3,4,3,2,2,3,5,2,4,3,5,2,2
173,1,27,4,6,6,4,4,4,5,5,5,4,4,6,4,5,4,4,4
174,1,29,2,4,4,5,6,4,6,5,5,4,6,5,5,4,4,4,4
175,1,28,4,4,5,5,3,5,4,5,4,4,4,2,5,4,3,3,3
176,1,36,4,4,5,4,4,5,4,4,4,5,4,5,5,4,3,3,4
177,1,30,2,4,4,3,3,4,3,3,4,4,4,3,4,3,3,5,4
178,2,28,2,2,2,4,3,3,3,2,4,2,5,3,2,1,1,2,2
179,1,23,2,4,3,5,6,5,4,4,4,3,4,4,5,4,3,4,4
180,2,37,2,2,3,2,1,5,3,3,3,4,2,2,3,3,4,2,2
181,2,22,5,1,3,3,2,3,2,3,2,2,3,3,2,1,2,3,2
182,2,28,4,2,2,2,3,3,3,3,2,1,1,1,2,2,2,1,2
183,1,29,4,4,3,5,4,4,4,4,5,4,5,4,4,4,5,3,5
184,2,31,5,5,2,4,4,3,4,4,4,4,4,4,5,3,4,4,3
185,1,18,1,3,4,5,4,4,4,4,4,3,4,4,5,4,2,3,3
186,2,36,4,3,3,2,3,3,3,3,3,4,4,3,3,4,3,3,3
187,1,23,4,5,4,4,3,3,5,3,4,4,4,5,5,4,3,2,3
188,2,33,4,1,2,2,3,1,1,3,3,3,3,3,3,2,1,1,1
189,1,40,3,4,4,5,4,5,5,5,5,5,4,4,6,5,4,4,4
190,1,37,2,3,3,4,3,4,5,3,3,5,4,3,3,4,2,2,1
191,2,23,5,4,4,3,5,4,4,4,3,4,4,5,4,4,3,2,3
192,2,29,3,2,4,1,2,3,3,5,4,4,4,4,4,3,3,3,4
193,1,38,4,5,4,3,4,4,5,5,5,5,5,4,4,3,4,4,4
194,2,31,4,4,4,4,6,4,4,5,3,4,4,4,5,4,5,3,3
195,1,18,5,2,2,3,5,2,4,4,5,4,2,3,3,5,4,4,5
196,1,34,4,2,2,3,3,3,2,5,4,3,3,4,6,3,1,2,3
197,1,27,4,4,3,4,3,3,4,5,3,3,4,4,5,2,2,3,3
198,2,31,4,3,2,3,3,3,3,4,4,4,4,4,5,5,4,3,4
199,2,30,4,4,5,4,3,3,3,4,3,5,6,5,3,2,3,3,3
200,1,44,4,6,5,5,6,6,6,4,5,6,5,4,4,3,4,4,3
201,2,28,2,4,4,3,4,4,4,5,5,4,3,4,3,4,4,3,3
202,2,35,4,3,2,4,4,2,2,2,3,3,4,3,4,4,5,3,4
203,2,19,2,3,4,3,2,3,3,3,3,3,3,3,3,3,1,2,3
204,2,31,4,4,3,2,3,3,3,3,3,4,2,3,4,3,2,3,2
205,2,21,5,3,5,2,2,4,3,5,5,3,3,5,4,3,3,2,2
206,1,26,3,3,3,3,2,4,4,6,5,5,5,4,5,4,3,3,4
207,2,42,4,5,4,5,6,5,5,5,6,5,5,5,5,4,4,5,4
208,2,34,3,2,4,3,4,3,5,3,4,5,5,5,3,1,1,1,1
209,2,24,1,3,2,3,3,4,3,4,4,4,4,5,5,3,4,3,1
210,2,31,3,4,3,5,3,4,3,3,4,2,3,4,3,2,2,2,2
211,2,33,4,1,1,1,1,2,2,3,3,3,4,3,3,1,2,1,2
212,2,22,4,2,2,3,2,3,3,5,4,4,3,4,3,2,2,2,1
213,1,35,2,4,5,5,5,4,3,4,3,4,4,3,3,4,4,3,4
214,2,18,4,1,3,2,3,3,5,4,4,3,4,3,3,2,3,2,1
215,2,39,4,2,3,4,3,3,3,4,4,3,4,4,4,2,2,3,2
216,1,18,4,4,3,3,3,3,4,4,4,5,4,4,4,2,2,3,2
217,2,39,4,3,3,3,3,3,4,3,3,3,3,4,4,3,2,2,2
218,1,23,5,5,5,6,6,5,5,5,5,3,4,4,3,4,5,3,2
219,2,23,2,4,5,5,4,5,5,5,6,4,5,4,4,3,4,2,3
220,1,18,2,3,4,2,3,3,3,3,1,1,2,3,2,4,3,3,3
221,2,21,4,4,4,4,6,3,5,3,3,3,3,1,3,3,3,3,3
222,2,23,4,3,1,3,4,2,3,4,3,4,5,4,4,5,3,3,3
223,2,27,4,5,3,4,3,3,4,2,2,3,2,1,3,2,3,2,1
224,2,28,4,2,2,3,4,2,3,5,3,4,3,4,4,1,2,2,2
225,1,24,4,5,6,5,5,4,5,5,5,4,5,6,6,5,4,4,4
226,1,18,4,4,3,5,3,3,4,3,4,5,4,3,4,3,4,4,3
227,2,24,5,4,4,3,3,3,5,4,3,4,3,3,4,3,2,2,3
228,1,18,4,2,1,1,3,2,3,5,5,5,5,4,4,3,3,2,2
229,1,32,4,2,3,2,3,3,4,2,2,4,2,3,3,3,3,4,4
230,2,32,2,3,4,3,3,3,3,3,3,4,4,5,5,3,1,1,3
231,1,28,3,2,2,2,2,3,3,4,4,3,4,2,5,2,2,2,3
232,1,38,3,3,3,2,4,4,4,2,3,3,3,2,5,2,2,3,1
233,2,24,5,4,3,4,4,4,4,4,5,4,5,4,5,2,3,2,2
234,2,39,2,3,2,3,3,2,3,5,5,5,5,4,3,1,3,3,3
235,2,34,3,4,3,4,3,3,4,4,3,3,4,3,3,2,4,3,4
236,1,39,4,4,3,3,2,5,4,4,4,6,4,5,5,3,3,5,3
237,2,25,4,1,1,2,3,2,3,4,3,4,2,3,3,3,3,2,4
238,1,41,2,3,3,3,3,3,4,4,5,5,5,5,5,4,3,3,3
239,2,33,4,4,3,3,3,4,3,4,4,3,5,4,5,4,4,2,3
240,2,29,4,4,4,3,4,4,5,4,4,4,4,5,5,4,4,3,3
241,1,19,4,3,3,3,4,4,3,4,4,3,3,4,4,2,2,2,2
242,1,21,4,2,4,6,4,3,4,4,3,3,4,3,2,4,2,3,3
243,1,31,4,5,5,4,5,3,3,4,5,5,5,4,5,3,5,3,4
244,2,26,5,3,4,4,2,3,5,3,3,3,5,4,4,2,1,4,2
245,1,31,5,2,4,4,4,4,4,3,4,3,3,4,5,4,3,4,4
246,1,24,2,3,5,3,2,2,3,4,3,3,3,3,3,2,2,2,1
247,2,38,5,3,3,2,1,2,3,3,4,3,5,3,3,2,1,1,1
248,2,18,4,4,3,3,4,5,4,3,4,3,2,3,4,2,3,3,3
249,1,34,2,3,2,4,3,4,2,3,5,6,6,3,5,2,4,3,3
250,1,18,4,3,4,4,3,4,3,4,3,3,3,3,2,2,2,3,3
251,2,34,4,3,2,2,2,2,1,4,4,4,5,3,4,1,3,2,1
252,1,30,4,4,4,4,6,4,3,4,4,4,5,4,4,4,3,5,4
253,1,24,4,4,6,4,6,4,4,4,4,4,5,3,5,5,3,3,4
254,1,21,1,4,4,4,4,4,4,3,4,4,3,3,3,3,2,3,4
255,2,32,3,4,2,5,4,3,4,3,4,3,5,5,4,4,3,3,3
256,2,37,2,4,5,3,3,3,4,4,5,4,5,5,4,5,4,5,6
257,1,27,5,4,2,3,2,3,2,3,4,4,2,4,4,1,2,1,2
258,1,27,4,5,5,5,5,3,4,4,5,6,3,5,5,4,3,4,4
259,1,18,4,5,3,5,3,3,3,5,4,4,4,3,4,4,2,5,3
260,2,27,4,4,2,3,4,3,4,4,6,5,5,5,3,4,3,2,2
261,1,18,4,4,3,2,5,3,4,3,3,2,4,4,5,4,5,3,3
262,1,25,4,2,3,2,3,3,3,3,2,5,3,3,3,3,3,3,3
263,2,30,3,3,3,3,4,4,3,4,3,3,5,4,4,3,4,3,3
264,2,35,4,1,1,3,2,2,1,3,3,4,3,3,4,1,1,1,1
265,2,31,2,5,4,3,5,3,4,4,4,2,4,3,4,4,4,4,2
266,2,39,3,2,2,4,2,3,2,3,1,3,3,3,3,2,1,2,3
267,1,48,5,4,4,3,4,3,5,5,3,3,5,5,4,5,4,3,2
268,1,37,2,2,4,3,3,3,4,4,4,4,4,3,5,3,4,4,3
269,2,25,1,2,4,4,3,4,5,4,4,4,4,6,4,3,4,2,3
270,1,28,4,3,3,3,2,2,5,3,3,6,5,3,5,3,2,3,2
271,1,32,4,3,5,3,2,3,4,4,5,6,4,6,4,4,3,3,3
272,2,27,4,4,3,4,2,2,4,6,5,4,6,5,3,2,3,3,3
273,2,36,4,3,3,2,1,3,3,4,3,4,4,4,6,2,2,2,2
274,2,27,4,2,2,2,5,3,3,3,4,4,4,3,4,2,3,2,3
275,1,43,5,4,6,5,3,4,4,3,4,3,2,3,2,4,5,6,4
276,1,18,4,5,2,4,2,5,2,5,5,4,5,4,5,4,3,4,4
277,1,18,3,5,5,4,6,6,6,5,6,5,5,5,5,4,3,4,3
278,1,22,4,3,5,5,4,3,4,3,4,4,3,3,4,4,4,2,3
279,1,36,4,4,5,4,5,4,3,4,4,4,4,4,3,4,3,3,2
280,1,29,2,3,3,3,4,3,2,4,3,2,2,3,3,4,3,2,3
281,2,18,2,3,4,4,3,4,4,4,5,4,4,4,4,3,3,4,2
282,2,19,4,3,4,2,5,4,3,2,3,4,4,3,4,2,3,4,4
283,1,32,2,3,2,3,2,3,1,2,3,1,2,2,4,3,2,4,1
284,2,35,4,2,2,1,2,2,2,4,3,3,2,3,5,2,2,2,1
285,2,36,4,2,3,2,3,2,2,3,1,1,4,2,3,2,2,3,2
286,2,21,4,3,4,3,2,4,2,3,5,3,4,3,5,3,2,3,3
287,2,29,5,4,4,4,4,4,3,5,6,5,5,5,5,4,4,4,5
288,2,27,3,4,2,3,4,3,4,3,4,3,3,3,3,2,4,1,2
289,2,24,2,2,3,4,4,4,2,5,4,4,4,3,5,3,3,3,3
290,2,27,4,2,1,2,2,2,2,3,4,4,2,3,2,1,2,2,1
291,1,32,2,4,2,3,3,3,3,3,5,3,4,4,4,5,3,3,3
292,2,36,4,4,2,4,4,4,3,4,4,4,4,4,4,2,3,4,2
293,1,19,2,5,4,4,5,3,5,4,5,5,5,5,6,5,5,4,4
294,2,28,2,4,3,4,3,3,3,3,5,4,5,5,5,3,2,3,3
295,1,38,3,5,5,4,5,4,4,6,6,6,6,5,6,3,3,2,2
296,2,21,2,2,2,3,3,4,5,4,4,3,4,4,4,1,3,3,3
297,1,22,2,4,6,5,4,5,6,4,6,4,5,6,4,3,4,3,4
298,2,23,2,3,4,3,4,4,3,3,3,3,3,3,3,2,2,3,1
299,2,32,4,5,5,4,4,6,6,2,5,4,5,4,6,1,2,1,1
300,2,30,2,5,2,3,2,4,3,1,2,1,2,2,1,2,1,1,1
301,2,22,4,4,3,2,3,4,3,5,4,3,4,3,4,3,2,2,2
302,2,28,3,4,2,4,4,5,3,4,3,4,4,5,4,4,5,3,4
303,1,39,3,3,3,3,3,2,3,4,5,3,5,4,5,3,3,3,3
304,2,27,2,3,4,3,3,4,2,4,2,3,4,3,2,1,1,2,1
305,2,37,2,1,1,3,2,2,1,1,2,2,3,3,3,1,1,2,1
306,2,41,4,3,4,3,3,4,5,6,5,5,5,5,5,5,5,4,4
307,2,39,3,4,4,4,4,3,4,5,5,4,4,5,3,3,3,2,3
308,1,24,4,3,2,4,4,3,3,4,3,3,4,4,4,2,3,3,2
309,1,38,4,2,3,2,3,3,3,4,4,5,5,4,3,3,2,2,2
310,2,34,3,3,3,4,3,4,2,4,4,2,5,3,4,2,2,2,2
311,1,41,4,6,6,6,6,6,5,5,6,6,5,6,6,5,5,4,4
312,1,23,4,5,6,5,4,4,4,3,4,4,4,5,4,5,6,5,3
313,1,22,3,3,4,4,3,2,4,4,3,5,3,3,3,3,4,2,2
314,2,24,2,5,5,4,3,3,2,3,4,4,4,4,4,2,2,4,2
315,1,32,2,5,3,4,4,4,3,3,3,4,4,4,3,4,4,4,3
316,1,21,4,4,4,3,2,4,3,4,6,4,4,5,5,2,3,2,2
317,2,26,2,2,2,4,3,3,4,3,4,3,5,3,5,3,4,3,3
318,2,29,4,5,5,3,2,4,3,3,4,3,4,4,4,3,4,3,3
319,2,22,4,4,3,5,3,3,4,5,5,6,4,4,5,2,2,2,4
320,2,28,1,3,2,2,4,2,3,4,4,4,5,4,4,3,2,2,2
321,2,25,4,6,5,6,5,5,5,5,5,3,6,4,4,4,4,4,2
322,2,27,4,4,4,3,3,2,3,2,3,3,3,4,3,3,2,1,2
323,1,32,3,5,5,4,4,4,3,4,4,4,2,4,5,2,3,4,2
324,1,23,3,4,3,4,4,4,4,5,4,4,3,4,4,4,4,4,4
325,2,18,2,2,3,2,3,4,5,3,5,3,6,5,4,3,2,3,3
326,1,25,4,5,4,4,4,4,5,4,5,3,5,4,4,4,4,5,4
327,2,34,3,3,3,1,3,3,4,4,4,4,4,4,3,3,2,2,1
328,1,30,4,4,5,4,4,4,4,3,3,5,5,5,3,4,5,4,4
329,2,32,3,2,2,4,1,3,2,4,3,4,4,4,4,2,3,1,2
330,1,27,2,5,6,4,3,4,5,6,5,6,4,5,6,4,4,4,3
331,1,23,2,4,5,4,4,4,3,4,5,5,5,4,4,4,4,3,4
332,1,32,4,4,5,5,3,3,4,5,5,4,4,4,5,4,4,4,3
333,1,30,1,3,3,4,3,3,3,3,4,4,3,4,3,2,2,2,1
334,1,21,4,4,6,6,6,5,5,4,3,4,4,4,4,4,3,3,3
335,2,36,4,3,3,3,1,4,5,5,5,4,4,5,4,3,1,3,1
336,1,31,4,4,4,3,4,3,4,3,2,5,3,3,4,3,3,2,3
337,2,25,2,4,4,4,3,5,4,4,4,5,5,5,6,4,3,3,4
338,1,19,5,4,5,4,6,5,3,4,4,5,4,4,4,3,4,3,3
339,2,18,4,3,3,3,3,2,3,3,4,2,4,2,4,2,2,3,1
340,1,31,4,4,5,4,3,2,3,4,3,6,6,4,4,2,2,3,1
341,2,24,4,3,2,5,3,1,5,3,3,4,4,4,4,2,3,4,3
342,1,40,2,4,4,3,5,5,3,3,4,4,3,4,5,3,3,3,2
343,2,27,4,5,4,5,4,5,3,3,5,3,2,4,4,3,3,4,3
344,2,29,5,3,2,3,3,3,3,4,3,4,4,3,4,3,3,2,2
345,2,24,5,3,3,4,2,2,3,2,3,2,3,3,4,3,2,2,2
346,1,33,3,6,5,4,5,4,5,4,4,5,4,4,6,6,5,3,5
