id,gender,age,edu,hs1,hs2,hs3,hs4,hs5,hs6,bs1,bs2,bs3,bs4,bs5,bs6
105,2,33,4,4,4,4,2,4,4,3,3,3,4,4,4
106,2,24,4,3,4,5,3,3,3,4,4,4,4,5,5
107,2,26,4,2,2,3,2,3,3,2,4,2,3,3,4
108,2,39,2,5,4,2,4,3,4,6,5,4,6,5,6
109,2,26,4,3,4,2,4,2,4,4,4,4,3,3,5
110,2,33,2,1,2,2,1,2,2,3,3,4,4,4,4
111,1,18,3,5,4,4,5,5,4,4,4,4,4,4,4
112,2,37,2,1,1,1,3,3,3,2,3,3,3,3,3
113,1,28,4,3,4,3,3,2,3,4,4,4,4,2,4
114,2,18,4,5,3,5,3,4,4,3,4,3,3,2,3
115,2,30,2,2,3,2,3,3,3,4,3,2,2,4,3
116,2,23,2,2,2,4,2,2,3,3,2,4,4,3,2
117,1,31,4,4,5,3,3,4,3,6,6,6,6,6,5
118,1,35,4,5,4,4,4,4,4,4,5,2,4,5,4
119,2,22,3,3,2,3,4,3,2,4,4,4,3,4,3
120,1,38,5,3,3,3,3,3,2,5,5,5,3,5,4
121,1,28,2,3,2,2,3,3,4,4,5,4,5,2,4
122,2,19,4,3,3,4,2,3,3,5,4,4,5,3,3
123,2,18,4,2,3,2,1,4,4,3,3,3,4,4,3
124,2,28,4,4,2,3,3,3,2,4,4,3,4,4,3
125,1,23,2,2,3,3,3,3,3,3,4,4,4,4,5
126,2,25,4,5,3,4,4,4,4,3,4,3,5,4,3
127,1,30,1,2,3,4,2,3,4,2,3,4,3,4,4
128,1,26,4,2,2,3,4,1,3,3,3,3,4,2,3
129,2,36,4,4,3,3,3,3,4,4,3,3,4,2,3
130,2,18,2,3,2,2,2,3,3,3,5,4,3,4,3
131,1,22,3,4,5,5,4,6,5,4,6,6,6,6,5
132,2,24,5,3,2,2,3,4,1,3,3,3,3,2,3
133,1,28,4,5,5,5,4,4,6,2,4,3,4,3,2
134,1,52,4,2,3,4,4,4,4,4,4,4,3,3,2
135,2,26,4,4,3,4,2,3,3,5,4,3,5,5,3
136,2,31,4,2,3,4,2,2,2,3,3,2,4,4,3
137,2,18,1,3,3,3,3,2,3,3,4,3,4,3,3
138,1,41,4,4,3,5,3,3,4,5,4,4,6,5,4
139,1,33,1,4,4,3,4,3,2,4,4,4,3,5,5
140,2,22,4,3,2,4,4,4,4,3,4,3,3,4,3
141,2,22,4,2,3,4,5,4,4,4,4,2,2,4,5
142,2,18,5,3,3,3,2,4,2,3,3,4,4,3,3
143,1,37,4,4,4,4,5,4,4,5,3,4,3,3,4
144,2,28,4,4,3,2,4,4,3,3,4,2,4,2,2
145,2,29,4,2,1,1,3,2,3,1,3,2,3,3,2
146,1,41,4,2,4,3,2,2,4,3,2,4,5,4,4
147,2,25,3,3,4,4,5,4,5,3,4,4,3,4,4
148,2,34,2,5,4,3,4,4,3,5,3,3,4,3,3
149,1,20,2,4,5,5,3,3,4,3,4,5,5,4,4
150,1,30,3,5,5,6,4,6,4,4,4,4,4,5,4
151,2,30,4,5,4,3,4,4,4,3,5,3,5,4,5
152,1,32,4,5,6,4,4,4,5,5,4,5,5,3,5
153,2,31,2,1,3,2,3,3,4,5,4,3,5,5,5
154,1,25,5,5,4,5,5,5,5,4,4,4,3,4,3
155,2,34,5,4,2,3,3,2,3,4,3,3,4,3,4
156,1,26,4,5,4,4,4,3,4,3,4,3,5,4,5
157,1,31,4,2,4,3,2,2,2,1,2,2,1,1,3
158,1,33,4,3,3,4,3,2,3,2,3,3,3,3,4
159,2,32,3,2,3,2,3,3,3,2,2,3,3,3,4
160,1,28,2,3,5,3,3,2,3,2,4,3,3,4,4
161,2,27,3,5,4,4,4,3,4,6,4,3,3,6,5
162,2,49,5,2,2,3,4,2,2,6,3,3,5,5,4
163,2,33,3,2,3,4,3,4,4,4,4,3,4,4,6
164,1,39,2,5,4,4,4,4,4,5,5,5,4,5,4
165,1,28,4,5,3,3,3,3,4,3,5,4,5,4,4
166,2,18,4,4,3,4,3,3,4,4,3,4,5,4,4
167,1,29,2,3,5,5,3,5,2,5,6,4,5,4,3
168,2,18,4,4,4,4,5,5,3,4,5,3,5,4,5
169,2,25,2,4,4,4,4,4,4,5,4,4,4,5,4
170,1,31,3,5,4,4,3,4,4,4,3,3,3,3,4
171,2,18,3,3,4,3,4,4,4,4,3,3,3,4,4
172,2,18,4,2,3,2,3,4,3,2,2,3,5,2,4
173,1,27,4,6,6,4,4,4,5,5,5,4,4,6,4
174,1,29,2,4,4,5,6,4,6,5,5,4,6,5,5
175,1,28,4,4,5,5,3,5,4,5,4,4,4,2,5
176,1,36,4,4,5,4,4,5,4,4,4,5,4,5,5
177,1,30,2,4,4,3,3,4,3,3,4,4,4,3,4
178,2,28,2,2,2,4,3,3,3,2,4,2,5,3,2
179,1,23,2,4,3,5,6,5,4,4,4,3,4,4,5
180,2,37,2,2,3,2,1,5,3,3,3,4,2,2,3
181,2,22,5,1,3,3,2,3,2,3,2,2,3,3,2
182,2,28,4,2,2,2,3,3,3,3,2,1,1,1,2
183,1,29,4,4,3,5,4,4,4,4,5,4,5,4,4
184,2,31,5,5,2,4,4,3,4,4,4,4,4,4,5
185,1,18,1,3,4,5,4,4,4,4,4,3,4,4,5
186,2,36,4,3,3,2,3,3,3,3,3,4,4,3,3
187,1,23,4,5,4,4,3,3,5,3,4,4,4,5,5
188,2,33,4,1,2,2,3,1,1,3,3,3,3,3,3
189,1,40,3,4,4,5,4,5,5,5,5,5,4,4,6
190,1,37,2,3,3,4,3,4,5,3,3,5,4,3,3
191,2,23,5,4,4,3,5,4,4,4,3,4,4,5,4
192,2,29,3,2,4,1,2,3,3,5,4,4,4,4,4
193,1,38,4,5,4,3,4,4,5,5,5,5,5,4,4
194,2,31,4,4,4,4,6,4,4,5,3,4,4,4,5
195,1,18,5,2,2,3,5,2,4,4,5,4,2,3,3
196,1,34,4,2,2,3,3,3,2,5,4,3,3,4,6
197,1,27,4,4,3,4,3,3,4,5,3,3,4,4,5
198,2,31,4,3,2,3,3,3,3,4,4,4,4,4,5
199,2,30,4,4,5,4,3,3,3,4,3,5,6,5,3
200,1,44,4,6,5,5,6,6,6,4,5,6,5,4,4
201,2,28,2,4,4,3,4,4,4,5,5,4,3,4,3
202,2,35,4,3,2,4,4,2,2,2,3,3,4,3,4
203,2,19,2,3,4,3,2,3,3,3,3,3,3,3,3
204,2,31,4,4,3,2,3,3,3,3,3,4,2,3,4
205,2,21,5,3,5,2,2,4,3,5,5,3,3,5,4
206,1,26,3,3,3,3,2,4,4,6,5,5,5,4,5
207,2,42,4,5,4,5,6,5,5,5,6,5,5,5,5
208,2,34,3,2,4,3,4,3,5,3,4,5,5,5,3
209,2,24,1,3,2,3,3,4,3,4,4,4,4,5,5
210,2,31,3,4,3,5,3,4,3,3,4,2,3,4,3
211,2,33,4,1,1,1,1,2,2,3,3,3,4,3,3
212,2,22,4,2,2,3,2,3,3,5,4,4,3,4,3
213,1,35,2,4,5,5,5,4,3,4,3,4,4,3,3
214,2,18,4,1,3,2,3,3,5,4,4,3,4,3,3
215,2,39,4,2,3,4,3,3,3,4,4,3,4,4,4
216,1,18,4,4,3,3,3,3,4,4,4,5,4,4,4
217,2,39,4,3,3,3,3,3,4,3,3,3,3,4,4
218,1,23,5,5,5,6,6,5,5,5,5,3,4,4,3
219,2,23,2,4,5,5,4,5,5,5,6,4,5,4,4
220,1,18,2,3,4,2,3,3,3,3,1,1,2,3,2
221,2,21,4,4,4,4,6,3,5,3,3,3,3,1,3
222,2,23,4,3,1,3,4,2,3,4,3,4,5,4,4
223,2,27,4,5,3,4,3,3,4,2,2,3,2,1,3
224,2,28,4,2,2,3,4,2,3,5,3,4,3,4,4
225,1,24,4,5,6,5,5,4,5,5,5,4,5,6,6
226,1,18,4,4,3,5,3,3,4,3,4,5,4,3,4
227,2,24,5,4,4,3,3,3,5,4,3,4,3,3,4
228,1,18,4,2,1,1,3,2,3,5,5,5,5,4,4
229,1,32,4,2,3,2,3,3,4,2,2,4,2,3,3
230,2,32,2,3,4,3,3,3,3,3,3,4,4,5,5
231,1,28,3,2,2,2,2,3,3,4,4,3,4,2,5
232,1,38,3,3,3,2,4,4,4,2,3,3,3,2,5
233,2,24,5,4,3,4,4,4,4,4,5,4,5,4,5
234,2,39,2,3,2,3,3,2,3,5,5,5,5,4,3
235,2,34,3,4,3,4,3,3,4,4,3,3,4,3,3
236,1,39,4,4,3,3,2,5,4,4,4,6,4,5,5
237,2,25,4,1,1,2,3,2,3,4,3,4,2,3,3
238,1,41,2,3,3,3,3,3,4,4,5,5,5,5,5
239,2,33,4,4,3,3,3,4,3,4,4,3,5,4,5
240,2,29,4,4,4,3,4,4,5,4,4,4,4,5,5
241,1,19,4,3,3,3,4,4,3,4,4,3,3,4,4
242,1,21,4,2,4,6,4,3,4,4,3,3,4,3,2
243,1,31,4,5,5,4,5,3,3,4,5,5,5,4,5
244,2,26,5,3,4,4,2,3,5,3,3,3,5,4,4
245,1,31,5,2,4,4,4,4,4,3,4,3,3,4,5
246,1,24,2,3,5,3,2,2,3,4,3,3,3,3,3
247,2,38,5,3,3,2,1,2,3,3,4,3,5,3,3
248,2,18,4,4,3,3,4,5,4,3,4,3,2,3,4
249,1,34,2,3,2,4,3,4,2,3,5,6,6,3,5
250,1,18,4,3,4,4,3,4,3,4,3,3,3,3,2
251,2,34,4,3,2,2,2,2,1,4,4,4,5,3,4
252,1,30,4,4,4,4,6,4,3,4,4,4,5,4,4
253,1,24,4,4,6,4,6,4,4,4,4,4,5,3,5
254,1,21,1,4,4,4,4,4,4,3,4,4,3,3,3
255,2,32,3,4,2,5,4,3,4,3,4,3,5,5,4
256,2,37,2,4,5,3,3,3,4,4,5,4,5,5,4
257,1,27,5,4,2,3,2,3,2,3,4,4,2,4,4
258,1,27,4,5,5,5,5,3,4,4,5,6,3,5,5
259,1,18,4,5,3,5,3,3,3,5,4,4,4,3,4
260,2,27,4,4,2,3,4,3,4,4,6,5,5,5,3
261,1,18,4,4,3,2,5,3,4,3,3,2,4,4,5
262,1,25,4,2,3,2,3,3,3,3,2,5,3,3,3
263,2,30,3,3,3,3,4,4,3,4,3,3,5,4,4
264,2,35,4,1,1,3,2,2,1,3,3,4,3,3,4
265,2,31,2,5,4,3,5,3,4,4,4,2,4,3,4
266,2,39,3,2,2,4,2,3,2,3,1,3,3,3,3
267,1,48,5,4,4,3,4,3,5,5,3,3,5,5,4
268,1,37,2,2,4,3,3,3,4,4,4,4,4,3,5
269,2,25,1,2,4,4,3,4,5,4,4,4,4,6,4
270,1,28,4,3,3,3,2,2,5,3,3,6,5,3,5
271,1,32,4,3,5,3,2,3,4,4,5,6,4,6,4
272,2,27,4,4,3,4,2,2,4,6,5,4,6,5,3
273,2,36,4,3,3,2,1,3,3,4,3,4,4,4,6
274,2,27,4,2,2,2,5,3,3,3,4,4,4,3,4
275,1,43,5,4,6,5,3,4,4,3,4,3,2,3,2
276,1,18,4,5,2,4,2,5,2,5,5,4,5,4,5
277,1,18,3,5,5,4,6,6,6,5,6,5,5,5,5
278,1,22,4,3,5,5,4,3,4,3,4,4,3,3,4
279,1,36,4,4,5,4,5,4,3,4,4,4,4,4,3
280,1,29,2,3,3,3,4,3,2,4,3,2,2,3,3
281,2,18,2,3,4,4,3,4,4,4,5,4,4,4,4
282,2,19,4,3,4,2,5,4,3,2,3,4,4,3,4
283,1,32,2,3,2,3,2,3,1,2,3,1,2,2,4
284,2,35,4,2,2,1,2,2,2,4,3,3,2,3,5
285,2,36,4,2,3,2,3,2,2,3,1,1,4,2,3
286,2,21,4,3,4,3,2,4,2,3,5,3,4,3,5
287,2,29,5,4,4,4,4,4,3,5,6,5,5,5,5
288,2,27,3,4,2,3,4,3,4,3,4,3,3,3,3
289,2,24,2,2,3,4,4,4,2,5,4,4,4,3,5
290,2,27,4,2,1,2,2,2,2,3,4,4,2,3,2
291,1,32,2,4,2,3,3,3,3,3,5,3,4,4,4
292,2,36,4,4,2,4,4,4,3,4,4,4,4,4,4
293,1,19,2,5,4,4,5,3,5,4,5,5,5,5,6
294,2,28,2,4,3,4,3,3,3,3,5,4,5,5,5
295,1,38,3,5,5,4,5,4,4,6,6,6,6,5,6
296,2,21,2,2,2,3,3,4,5,4,4,3,4,4,4
297,1,22,2,4,6,5,4,5,6,4,6,4,5,6,4
298,2,23,2,3,4,3,4,4,3,3,3,3,3,3,3
299,2,32,4,5,5,4,4,6,6,2,5,4,5,4,6
300,2,30,2,5,2,3,2,4,3,1,2,1,2,2,1
301,2,22,4,4,3,2,3,4,3,5,4,3,4,3,4
302,2,28,3,4,2,4,4,5,3,4,3,4,4,5,4
303,1,39,3,3,3,3,3,2,3,4,5,3,5,4,5
304,2,27,2,3,4,3,3,4,2,4,2,3,4,3,2
305,2,37,2,1,1,3,2,2,1,1,2,2,3,3,3
306,2,41,4,3,4,3,3,4,5,6,5,5,5,5,5
307,2,39,3,4,4,4,4,3,4,5,5,4,4,5,3
308,1,24,4,3,2,4,4,3,3,4,3,3,4,4,4
309,1,38,4,2,3,2,3,3,3,4,4,5,5,4,3
310,2,34,3,3,3,4,3,4,2,4,4,2,5,3,4
311,1,41,4,6,6,6,6,6,5,5,6,6,5,6,6
312,1,23,4,5,6,5,4,4,4,3,4,4,4,5,4
313,1,22,3,3,4,4,3,2,4,4,3,5,3,3,3
314,2,24,2,5,5,4,3,3,2,3,4,4,4,4,4
315,1,32,2,5,3,4,4,4,3,3,3,4,4,4,3
316,1,21,4,4,4,3,2,4,3,4,6,4,4,5,5
317,2,26,2,2,2,4,3,3,4,3,4,3,5,3,5
318,2,29,4,5,5,3,2,4,3,3,4,3,4,4,4
319,2,22,4,4,3,5,3,3,4,5,5,6,4,4,5
320,2,28,1,3,2,2,4,2,3,4,4,4,5,4,4
321,2,25,4,6,5,6,5,5,5,5,5,3,6,4,4
322,2,27,4,4,4,3,3,2,3,2,3,3,3,4,3
323,1,32,3,5,5,4,4,4,3,4,4,4,2,4,5
324,1,23,3,4,3,4,4,4,4,5,4,4,3,4,4
325,2,18,2,2,3,2,3,4,5,3,5,3,6,5,4
326,1,25,4,5,4,4,4,4,5,4,5,3,5,4,4
327,2,34,3,3,3,1,3,3,4,4,4,4,4,4,3
328,1,30,4,4,5,4,4,4,4,3,3,5,5,5,3
329,2,32,3,2,2,4,1,3,2,4,3,4,4,4,4
330,1,27,2,5,6,4,3,4,5,6,5,6,4,5,6
331,1,23,2,4,5,4,4,4,3,4,5,5,5,4,4
332,1,32,4,4,5,5,3,3,4,5,5,4,4,4,5
333,1,30,1,3,3,4,3,3,3,3,4,4,3,4,3
334,1,21,4,4,6,6,6,5,5,4,3,4,4,4,4
335,2,36,4,3,3,3,1,4,5,5,5,4,4,5,4
336,1,31,4,4,4,3,4,3,4,3,2,5,3,3,4
337,2,25,2,4,4,4,3,5,4,4,4,5,5,5,6
338,1,19,5,4,5,4,6,5,3,4,4,5,4,4,4
339,2,18,4,3,3,3,3,2,3,3,4,2,4,2,4
340,1,31,4,4,5,4,3,2,3,4,3,6,6,4,4
341,2,24,4,3,2,5,3,1,5,3,3,4,4,4,4
342,1,40,2,4,4,3,5,5,3,3,4,4,3,4,5
343,2,27,4,5,4,5,4,5,3,3,5,3,2,4,4
344,2,29,5,3,2,3,3,3,3,4,3,4,4,3,4
345,2,24,5,3,3,4,2,2,3,2,3,2,3,3,4
346,1,33,3,6,5,4,5,4,5,4,4,5,4,4,6
347,2,36,4,3,2,3,3,4,4,3,3,2,4,3,4
348,1,40,2,3,3,1,3,3,3,4,4,3,2,2,4
349,2,30,2,2,2,1,2,2,4,3,3,4,4,4,4
350,1,33,5,5,4,3,4,4,4,3,4,3,4,3,4
351,1,26,3,3,4,3,4,2,4,5,3,3,3,4,3
352,1,31,4,3,6,4,5,5,6,5,5,6,4,4,5
353,1,53,4,4,4,3,4,4,2,4,3,5,2,4,3
354,1,18,4,4,5,4,4,4,2,4,4,5,5,5,3
355,1,25,5,4,5,4,5,3,3,3,4,4,5,4,4
356,1,39,4,4,4,4,5,6,6,3,3,4,4,5,4
357,1,30,3,3,2,3,1,3,2,4,6,6,4,5,4
358,1,28,1,4,4,4,4,5,4,6,5,5,4,5,4
359,2,22,2,3,3,3,4,4,2,5,4,4,4,4,3
360,1,18,3,4,4,3,1,4,3,4,4,3,3,3,1
361,1,30,1,4,4,4,4,4,4,4,4,3,3,3,3
362,1,21,3,2,3,3,2,2,2,4,2,3,4,3,3
363,1,32,5,3,2,3,2,2,3,4,3,4,4,5,3
364,2,28,4,3,3,2,5,2,3,4,5,3,6,4,5
365,2,18,2,3,3,3,3,2,3,6,4,5,5,5,4
366,2,25,2,3,2,1,3,2,3,2,3,3,2,4,3
367,1,33,2,3,4,4,4,4,4,3,5,4,4,4,2
368,2,25,4,4,3,4,3,5,6,5,5,5,4,5,4
369,2,38,5,4,4,4,3,4,5,5,4,3,4,5,4
370,2,22,3,4,3,3,5,3,5,2,3,4,4,3,3
371,1,27,4,4,4,3,4,4,2,5,4,5,4,4,5
372,2,26,4,5,4,5,6,5,4,5,3,4,5,4,4
373,2,20,4,3,1,3,3,2,3,5,3,4,4,5,5
374,1,25,4,3,3,3,3,4,4,5,4,5,4,4,5
375,1,26,5,5,4,3,4,4,3,4,3,3,4,3,5
376,1,30,5,2,4,2,4,4,2,6,5,5,5,5,6
377,2,30,2,4,4,1,4,5,5,4,3,4,4,4,5
378,1,19,4,4,3,4,4,5,6,3,5,4,4,4,4
379,2,18,5,3,3,3,4,3,2,3,3,3,4,4,3
380,1,47,4,3,2,4,2,3,3,4,3,3,3,4,3
381,2,25,3,3,4,4,4,5,4,3,3,2,5,2,2
382,2,36,2,4,3,3,3,4,4,4,5,4,4,5,3
383,1,27,5,3,3,2,2,3,3,3,3,2,3,5,4
384,2,29,4,3,3,4,3,3,2,3,2,3,3,3,3
385,2,18,4,4,3,3,2,3,2,2,3,1,2,2,2
386,2,23,3,2,1,1,2,2,1,2,2,3,3,3,3
387,1,28,2,4,5,3,3,5,3,4,5,6,5,6,6
388,2,22,4,3,5,4,4,3,4,3,3,3,4,3,4
389,1,40,4,3,4,5,5,3,5,2,3,4,3,5,4
390,2,31,3,4,2,4,4,2,3,3,3,4,3,4,3
391,2,28,2,5,4,5,3,4,6,4,5,4,4,5,5
392,1,23,2,5,4,4,4,5,3,5,3,5,4,4,4
393,2,37,4,4,3,4,3,3,2,4,3,2,3,2,2
394,1,25,3,4,4,3,2,5,3,5,3,2,4,4,4
395,1,35,4,5,5,4,4,4,2,3,5,5,3,3,5
396,2,18,3,2,4,3,4,4,3,4,5,4,4,5,4
397,1,23,2,5,5,5,4,6,6,5,5,6,5,5,4
398,1,34,3,5,4,5,4,3,5,4,4,5,4,5,5
399,2,34,3,4,4,4,4,4,3,5,5,5,4,5,5
400,1,33,2,3,4,3,4,3,6,5,5,6,5,4,5
401,1,30,2,4,4,4,4,4,3,4,5,2,4,4,3
402,2,29,5,1,1,1,2,3,2,5,4,2,4,3,3
403,1,30,4,4,5,5,3,4,3,3,3,3,3,2,3
404,2,30,3,4,3,2,4,3,3,3,3,4,5,4,4
405,1,21,4,5,5,5,5,5,5,3,4,6,2,3,3
406,1,40,4,3,4,4,4,3,3,4,5,3,5,4,4
407,1,23,4,5,5,4,4,4,3,3,4,4,4,4,5
408,1,39,4,2,3,3,1,1,3,3,2,5,4,2,4
409,2,35,2,4,5,4,4,4,4,5,6,4,6,5,5
410,2,20,4,4,4,2,3,3,3,2,2,1,3,2,2
411,1,25,4,3,4,3,5,4,4,4,5,5,3,4,3
412,1,41,3,4,3,5,4,3,2,4,4,5,4,4,3
413,2,23,3,3,4,3,4,5,4,5,3,4,5,4,3
414,1,42,3,4,4,3,4,4,3,4,2,5,4,4,2
415,1,27,4,6,4,4,4,4,5,5,6,5,4,5,5
416,2,21,4,4,1,3,3,3,3,3,3,2,1,2,3
417,1,21,4,2,3,2,2,3,3,3,2,4,3,2,3
418,2,25,3,2,2,2,4,4,3,1,4,3,3,3,4
419,1,30,2,6,6,4,4,4,4,5,3,4,3,5,4
420,1,36,3,2,4,4,4,3,3,4,4,5,4,4,4
421,1,18,4,6,4,6,5,6,4,4,4,4,4,3,5
422,1,32,1,6,6,6,6,5,5,4,5,3,4,5,6
423,2,26,3,4,4,3,5,3,5,4,4,1,2,3,3
424,2,18,4,3,2,4,3,4,3,3,3,2,3,3,2
425,1,25,2,5,6,4,4,5,5,4,4,6,5,5,5
426,1,34,5,3,3,2,2,3,1,4,3,3,3,2,3
427,2,25,2,5,3,5,4,5,6,5,5,5,4,5,6
428,2,18,2,2,1,2,2,3,2,4,5,5,5,5,4
429,2,39,5,4,3,3,3,3,3,3,4,2,3,3,4
430,1,41,3,4,5,4,5,5,5,5,4,3,3,3,4
431,1,27,2,5,3,6,4,4,5,5,4,4,4,4,5
432,1,42,5,4,4,3,3,5,4,3,5,5,4,3,3
433,1,18,4,3,6,5,4,4,5,4,4,6,3,3,3
